"ID","Member_Country","Measure","Table","Value","Harvest_Sector","GDP_Dimension","Year","Unit"
237,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Offshore Locally Based","VAR","2021","Proportion"
238,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Freshwater","VAR","2021","Proportion"
239,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Aquaculture","VAR","2021","Proportion"
240,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Coastal commercial","Value added","2021","NZ$"
241,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",840000,"Coastal subsistence","Value added","2021","NZ$"
242,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Offshore Locally Based","Value added","2021","NZ$"
243,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Freshwater","Value added","2021","NZ$"
244,"Tokelau","Fishing contribution to GDP - VAR Method","26-7",0,"Aquaculture","Value added","2021","NZ$"
245,"Tonga","Fishing contribution to GDP - VAR Method","17-6",33200000,"Coastal commercial","Gross Value of Production","2021","T$"
246,"Tonga","Fishing contribution to GDP - VAR Method","17-6",23300000,"Coastal subsistence","Gross Value of Production","2021","T$"
247,"Tonga","Fishing contribution to GDP - VAR Method","17-6",3400000,"Offshore Locally Based","Gross Value of Production","2021","T$"
248,"Tonga","Fishing contribution to GDP - VAR Method","17-6",6650,"Freshwater","Gross Value of Production","2021","T$"
249,"Tonga","Fishing contribution to GDP - VAR Method","17-6",1000000,"Aquaculture","Gross Value of Production","2021","T$"
250,"Tonga","Fishing contribution to GDP - VAR Method","17-6",0.6,"Coastal commercial","VAR","2021","Proportion"
251,"Tonga","Fishing contribution to GDP - VAR Method","17-6",0.75,"Coastal subsistence","VAR","2021","Proportion"
252,"Tonga","Fishing contribution to GDP - VAR Method","17-6",0.2,"Offshore Locally Based","VAR","2021","Proportion"
253,"Tonga","Fishing contribution to GDP - VAR Method","17-6",0.95,"Freshwater","VAR","2021","Proportion"
254,"Tonga","Fishing contribution to GDP - VAR Method","17-6",0.55,"Aquaculture","VAR","2021","Proportion"
255,"Tonga","Fishing contribution to GDP - VAR Method","17-6",19920000,"Coastal commercial","Value added","2021","T$"
256,"Tonga","Fishing contribution to GDP - VAR Method","17-6",17475000,"Coastal subsistence","Value added","2021","T$"
257,"Tonga","Fishing contribution to GDP - VAR Method","17-6",680000,"Offshore Locally Based","Value added","2021","T$"
258,"Tonga","Fishing contribution to GDP - VAR Method","17-6",6318,"Freshwater","Value added","2021","T$"
259,"Tonga","Fishing contribution to GDP - VAR Method","17-6",550000,"Aquaculture","Value added","2021","T$"
260,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",1575000,"Coastal commercial","Gross Value of Production","2021","A$"
261,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",2817500,"Coastal subsistence","Gross Value of Production","2021","A$"
262,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",0,"Offshore Locally Based","Gross Value of Production","2021","A$"
263,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",2000,"Freshwater","Gross Value of Production","2021","A$"
264,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",0,"Aquaculture","Gross Value of Production","2021","A$"
265,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",0.7,"Coastal commercial","VAR","2021","Proportion"
266,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",0.85,"Coastal subsistence","VAR","2021","Proportion"
267,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",0.92,"Freshwater","VAR","2021","Proportion"
268,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",1102500,"Coastal commercial","Value added","2021","A$"
269,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",2394875,"Coastal subsistence","Value added","2021","A$"
270,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",0,"Offshore Locally Based","Value added","2021","A$"
271,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",1840,"Freshwater","Value added","2021","A$"
272,"Tuvalu","Fishing contribution to GDP - VAR Method","18-5",0,"Aquaculture","Value added","2021","A$"
273,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",780000000,"Coastal commercial","Gross Value of Production","2021","VT"
274,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",1085000000,"Coastal subsistence","Gross Value of Production","2021","VT"
275,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",256000000,"Offshore Locally Based","Gross Value of Production","2021","VT"
276,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",33300000,"Freshwater","Gross Value of Production","2021","VT"
277,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",5200000,"Aquaculture","Gross Value of Production","2021","VT"
278,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",0.7,"Coastal commercial","VAR","2021","Proportion"
279,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",0.9,"Coastal subsistence","VAR","2021","Proportion"
280,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",0.2,"Offshore Locally Based","VAR","2021","Proportion"
281,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",0.9,"Freshwater","VAR","2021","Proportion"
282,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",0.55,"Aquaculture","VAR","2021","Proportion"
283,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",546000000,"Coastal commercial","Value added","2021","VT"
284,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",976500000,"Coastal subsistence","Value added","2021","VT"
285,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",51200000,"Offshore Locally Based","Value added","2021","VT"
286,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",29970000,"Freshwater","Value added","2021","VT"
287,"Vanuatu","Fishing contribution to GDP - VAR Method","19-4",2860000,"Aquaculture","Value added","2021","VT"
288,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",48000000,"Coastal commercial","Gross Value of Production","2021","XPF"
289,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",177400000,"Coastal subsistence","Gross Value of Production","2021","XPF"
290,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",0,"Offshore Locally Based","Gross Value of Production","2021","XPF"
291,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",200000,"Freshwater","Gross Value of Production","2021","XPF"
292,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",0,"Aquaculture","Gross Value of Production","2021","XPF"
293,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",0.65,"Coastal commercial","VAR","2021","Proportion"
294,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",0.8,"Coastal subsistence","VAR","2021","Proportion"
295,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",0,"Offshore Locally Based","VAR","2021","Proportion"
296,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",0.9,"Freshwater","VAR","2021","Proportion"
297,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",0,"Aquaculture","VAR","2021","Proportion"
298,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",31200000,"Coastal commercial","Value added","2021","XPF"
299,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",141920000,"Coastal subsistence","Value added","2021","XPF"
300,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",0,"Offshore Locally Based","Value added","2021","XPF"
301,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",180000,"Freshwater","Value added","2021","XPF"
302,"Wallis_and_Futuna","Fishing contribution to GDP - VAR Method","27-6",0,"Aquaculture","Value added","2021","XPF"
