"ID","Member_Country","Measure","Table","Value","Metric","Unit","PICT","Year"
243,"Summary_Tables","Volume of fishery production by PICT","29-7",1315,"Offshore Foreign Based","Tonnes","Palau","2021"
244,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","New","2007"
245,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Caledonia","2014"
246,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Caledonia","2021"
247,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","American Samoa","2007"
248,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","American Samoa","2014"
249,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","American Samoa","2021"
250,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Wallis and Futuna","2007"
251,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Wallis and Futuna","2014"
252,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Wallis and Futuna","2021"
253,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Niue","2007"
254,"Summary_Tables","Volume of fishery production by PICT","29-7",547,"Offshore Foreign Based","Tonnes","Niue","2014"
255,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Niue","2021"
256,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Northern Mariana Is.","2007"
257,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Northern Mariana Is.","2014"
258,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Northern Mariana Is.","2021"
259,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Guam","2007"
260,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Guam","2014"
261,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Guam","2021"
262,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Pitcairn","2007"
263,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Pitcairn","2014"
264,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Offshore Foreign Based","Tonnes","Pitcairn","2021"
265,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Kiribati","2007"
266,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Kiribati","2014"
267,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Kiribati","2021"
268,"Summary_Tables","Volume of fishery production by PICT","29-7",17500,"Freshwater","Tonnes","PNG","2007"
269,"Summary_Tables","Volume of fishery production by PICT","29-7",20000,"Freshwater","Tonnes","PNG","2014"
270,"Summary_Tables","Volume of fishery production by PICT","29-7",23000,"Freshwater","Tonnes","PNG","2021"
271,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Nauru","2007"
272,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Nauru","2014"
273,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Nauru","2021"
274,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","FSM","2007"
275,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","FSM","2014"
276,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","FSM","2021"
277,"Summary_Tables","Volume of fishery production by PICT","29-7",2000,"Freshwater","Tonnes","Solomon Islands","2007"
278,"Summary_Tables","Volume of fishery production by PICT","29-7",2300,"Freshwater","Tonnes","Solomon Islands","2014"
279,"Summary_Tables","Volume of fishery production by PICT","29-7",2500,"Freshwater","Tonnes","Solomon Islands","2021"
280,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Marshall Islands","2007"
281,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Marshall Islands","2014"
282,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Marshall Islands","2021"
283,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Tuvalu","2007"
284,"Summary_Tables","Volume of fishery production by PICT","29-7",2,"Freshwater","Tonnes","Tuvalu","2014"
285,"Summary_Tables","Volume of fishery production by PICT","29-7",2,"Freshwater","Tonnes","Tuvalu","2021"
286,"Summary_Tables","Volume of fishery production by PICT","29-7",4146,"Freshwater","Tonnes","Fiji","2007"
287,"Summary_Tables","Volume of fishery production by PICT","29-7",3731,"Freshwater","Tonnes","Fiji","2014"
288,"Summary_Tables","Volume of fishery production by PICT","29-7",4000,"Freshwater","Tonnes","Fiji","2021"
289,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Tokelau","2007"
290,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Tokelau","2014"
291,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Tokelau","2021"
292,"Summary_Tables","Volume of fishery production by PICT","29-7",5,"Freshwater","Tonnes","Cook Islands","2007"
293,"Summary_Tables","Volume of fishery production by PICT","29-7",5,"Freshwater","Tonnes","Cook Islands","2014"
294,"Summary_Tables","Volume of fishery production by PICT","29-7",5,"Freshwater","Tonnes","Cook Islands","2021"
295,"Summary_Tables","Volume of fishery production by PICT","29-7",80,"Freshwater","Tonnes","Vanuatu","2007"
296,"Summary_Tables","Volume of fishery production by PICT","29-7",80,"Freshwater","Tonnes","Vanuatu","2014"
297,"Summary_Tables","Volume of fishery production by PICT","29-7",88,"Freshwater","Tonnes","Vanuatu","2021"
298,"Summary_Tables","Volume of fishery production by PICT","29-7",100,"Freshwater","Tonnes","French Polynesia","2007"
299,"Summary_Tables","Volume of fishery production by PICT","29-7",100,"Freshwater","Tonnes","French Polynesia","2014"
300,"Summary_Tables","Volume of fishery production by PICT","29-7",100,"Freshwater","Tonnes","French Polynesia","2021"
301,"Summary_Tables","Volume of fishery production by PICT","29-7",10,"Freshwater","Tonnes","Samoa","2007"
302,"Summary_Tables","Volume of fishery production by PICT","29-7",10,"Freshwater","Tonnes","Samoa","2014"
303,"Summary_Tables","Volume of fishery production by PICT","29-7",10,"Freshwater","Tonnes","Samoa","2021"
304,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","Tonga","2007"
305,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","Tonga","2014"
306,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","Tonga","2021"
307,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","Palau","2007"
308,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","Palau","2014"
309,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","Palau","2021"
310,"Summary_Tables","Volume of fishery production by PICT","29-7",10,"Freshwater","Tonnes","New","2007"
311,"Summary_Tables","Volume of fishery production by PICT","29-7",10,"Freshwater","Tonnes","Caledonia","2014"
312,"Summary_Tables","Volume of fishery production by PICT","29-7",10,"Freshwater","Tonnes","Caledonia","2021"
313,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","American Samoa","2007"
314,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","American Samoa","2014"
315,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","American Samoa","2021"
316,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Wallis and Futuna","2007"
317,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Wallis and Futuna","2014"
318,"Summary_Tables","Volume of fishery production by PICT","29-7",1,"Freshwater","Tonnes","Wallis and Futuna","2021"
319,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Niue","2007"
320,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Niue","2014"
321,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Niue","2021"
322,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Northern Mariana Is.","2007"
323,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Northern Mariana Is.","2014"
324,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Northern Mariana Is.","2021"
325,"Summary_Tables","Volume of fishery production by PICT","29-7",3,"Freshwater","Tonnes","Guam","2007"
326,"Summary_Tables","Volume of fishery production by PICT","29-7",3,"Freshwater","Tonnes","Guam","2014"
327,"Summary_Tables","Volume of fishery production by PICT","29-7",3,"Freshwater","Tonnes","Guam","2021"
328,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Pitcairn","2007"
329,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Pitcairn","2014"
330,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Freshwater","Tonnes","Pitcairn","2021"
